,Location,Velocity,Time
1191,45.0,9.0,6.0
1192,45.0,9.0,8.0
1193,45.0,9.0,10.0
1194,45.0,9.0,12.0
1195,45.0,9.0,14.0
1196,45.0,9.0,16.0
1197,45.0,9.0,18.0
1198,45.0,9.0,20.0
1199,45.0,10.0,0.0
1200,45.0,10.0,2.0
1201,45.0,10.0,4.0
1202,45.0,10.0,6.0
1203,45.0,10.0,8.0
1204,45.0,10.0,10.0
1205,45.0,10.0,12.0
1206,45.0,10.0,14.0
1207,45.0,10.0,16.0
1208,45.0,10.0,18.0
1209,45.0,10.0,20.0
1210,50.0,0.0,0.0
1211,50.0,0.0,2.0
1212,50.0,0.0,4.0
1213,50.0,0.0,6.0
1214,50.0,0.0,8.0
1215,50.0,0.0,10.0
1216,50.0,0.0,12.0
1217,50.0,0.0,14.0
1218,50.0,0.0,16.0
1219,50.0,0.0,18.0
1220,50.0,0.0,20.0
1221,50.0,1.0,0.0
1222,50.0,1.0,2.0
1223,50.0,1.0,4.0
1224,50.0,1.0,6.0
1225,50.0,1.0,8.0
1226,50.0,1.0,10.0
1227,50.0,1.0,12.0
1228,50.0,1.0,14.0
1229,50.0,1.0,16.0
1230,50.0,1.0,18.0
1231,50.0,1.0,20.0
1232,50.0,2.0,0.0
1233,50.0,2.0,2.0
1234,50.0,2.0,4.0
1235,50.0,2.0,6.0
1236,50.0,2.0,8.0
1237,50.0,2.0,10.0
1238,50.0,2.0,12.0
1239,50.0,2.0,14.0
1240,50.0,2.0,16.0
1241,50.0,2.0,18.0
1242,50.0,2.0,20.0
1243,50.0,3.0,0.0
1244,50.0,3.0,2.0
1245,50.0,3.0,4.0
1246,50.0,3.0,6.0
1247,50.0,3.0,8.0
1248,50.0,3.0,10.0
1249,50.0,3.0,12.0
1250,50.0,3.0,14.0
1251,50.0,3.0,16.0
1252,50.0,3.0,18.0
1253,50.0,3.0,20.0
1254,50.0,4.0,0.0
1255,50.0,4.0,2.0
1256,50.0,4.0,4.0
1257,50.0,4.0,6.0
1258,50.0,4.0,8.0
1259,50.0,4.0,10.0
1260,50.0,4.0,12.0
1261,50.0,4.0,14.0
1262,50.0,4.0,16.0
1263,50.0,4.0,18.0
1264,50.0,4.0,20.0
1265,50.0,5.0,0.0
1266,50.0,5.0,2.0
1267,50.0,5.0,4.0
1268,50.0,5.0,6.0
1269,50.0,5.0,8.0
1270,50.0,5.0,10.0
1271,50.0,5.0,12.0
1272,50.0,5.0,14.0
1273,50.0,5.0,16.0
1274,50.0,5.0,18.0
1275,50.0,5.0,20.0
1276,50.0,6.0,0.0
1277,50.0,6.0,2.0
1278,50.0,6.0,4.0
1279,50.0,6.0,6.0
1280,50.0,6.0,8.0
1281,50.0,6.0,10.0
1282,50.0,6.0,12.0
1283,50.0,6.0,14.0
1284,50.0,6.0,16.0
1285,50.0,6.0,18.0
1286,50.0,6.0,20.0
1287,50.0,7.0,0.0
1288,50.0,7.0,2.0
1289,50.0,7.0,4.0
1290,50.0,7.0,6.0
1291,50.0,7.0,8.0
1292,50.0,7.0,10.0
1293,50.0,7.0,12.0
1294,50.0,7.0,14.0
1295,50.0,7.0,16.0
1296,50.0,7.0,18.0
1297,50.0,7.0,20.0
1298,50.0,8.0,0.0
1299,50.0,8.0,2.0
1300,50.0,8.0,4.0
1301,50.0,8.0,6.0
